a-Al(650K),a-Fe-alpha(650K),a-Al(800K),a-Fe-alpha(800K)
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.99999783,2.5302596e-09,0.99995948,1.73272e-07
0.62296584,1.1643782e-08,0.99995948,1.73272e-07
0.38174663,5.6114443e-08,0.71777474,5.02017e-07
0.27070922,1.6816856e-07,0.50899791,1.50449e-06
0.2068627,3.9512071e-07,0.38895123,3.53487e-06
0.16539538,8.009049e-07,0.31098277,7.16514e-06
0.1362955,1.470803e-06,0.25626806,1.31583e-05
0.11474827,2.5177809e-06,0.21575412,2.25248e-05
0.098151072,4.0909564e-06,0.18454743,3.6599e-05
0.094292686,4.6317986e-06,0.15977121,5.71396e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.094292686,4.6317986e-06,0.15821129,5.88933e-05
0.086983096,5.8092647e-06,0.15821129,5.88933e-05
0.07747597,8.0283482e-06,0.15821129,5.88933e-05
0.069361717,1.09203e-05,0.15821129,5.88933e-05
0.062373865,1.4649375e-05,0.1572098,5.99346e-05
0.056308893,1.9413145e-05,0.14396847,7.63577e-05
0.051008732,2.5448398e-05,0.13228238,9.62786e-05
0.046348789,3.3037991e-05,0.12190375,0.000120284
0.042229568,4.2518827e-05,0.11263444,0.000149041
0.03857069,5.4291125e-05,0.1043141,0.00018331
0.035306533,6.8829204e-05,0.096811596,0.000223958
0.032383022,8.6694021e-05,0.090018655,0.000271968
0.029755214,0.00010854775,0.083845099,0.000328457
0.027385466,0.00013517077,0.078215222,0.000394695
0.025242024,0.00016748141,0.073065009,0.000472124
0.023297932,0.000206559,0.068339967,0.00056238
0.021530164,0.00025367073,0.063993425,0.000667322
0.01991895,0.000310303,0.059985182,0.000789063
0.018447222,0.00037819808,0.056280429,0.00093
0.017100179,0.000459397,0.052848878,0.001092862
0.01586493,0.00055628983,0.049664054,0.001280749
0.014730198,0.00067167463,0.046702718,0.001497193
0.013686085,0.00080882687,0.043944388,0.001746215
0.012723869,0.00097158104,0.041370945,0.002032401
0.011835839,0.0011644271,0.038966306,0.002360987
0.011015156,0.0013926245,0.036716145,0.002737955
0.010255739,0.0016623371,0.034607663,0.003170152
0.009552163,0.0019807942,0.032629392,0.003665427
0.0088995767,0.002356481,0.030771026,0.00423279
0.0088092668,0.0024160448,0.029023282,0.004882601
0.0088092668,0.0024160448,0.027377774,0.005626799
0.0088092668,0.0024160448,0.02582691,0.00647917
0.0088092668,0.0024160448,0.024363803,0.007455664
0.0088092668,0.0024160448,0.022982189,0.008574787
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0088092668,0.0024160448,0.022749,0.008786251
0.0083250343,0.0027058239,0.022749,0.008786251
0.0046102135,0.0088162975,0.019546208,0.010341837953124999
0.0046102135,0.0088162975,0.0167608808333333,0.01416981690625
0.0046102135,0.0088162975,0.0147202306666666,0.019083655859375
0.0046102135,0.0088162975,0.01379483125,0.01929948378125
0.0046102135,0.0088162975,0.01349531,0.019515311703125
0.0046102135,0.0088162975,0.01319578875,0.019731139625
0.0046102135,0.0088162975,0.0128962675,0.019946967546875
0.0046102135,0.0088162975,0.0125967462499999,0.02016279546875
0.0046102135,0.0088162975,0.012297225,0.020378623390625
0.0046102135,0.0088162975,0.01199770375,0.020594451312499998
0.0046102135,0.0088162975,0.0116981825,0.020810279234375
0.0046102135,0.0088162975,0.01139866125,0.02102610715625
0.0046102135,0.0088162975,0.01109914,0.021241935078125
0.0046102135,0.0088162975,0.01079961875,0.021457763
0.0046102135,0.0088162975,0.0105000975,0.021673590921875
0.0046102135,0.0088162975,0.0046102135,0.02188941884375
0.0046102135,0.0088162975,0.0046102135,0.0221043078125
0.0046102135,0.0088162975,0.0046102135,0.02231919678125
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
0.0034367017999999,0.02253408575,0.0034367017999999,0.022534085750000002
