;;900°C;;650°C;
XAl;XFe;Fe;Al;Fe;Al
0.887;0.113;0.000200;0.928828;0.000010;0.999781
0.886;0.114;0.000200;0.928828;0.000010;0.999781
0.885;0.115;0.000200;0.928828;0.000010;0.999781
0.884;0.116;0.000200;0.928828;0.000010;0.999781
0.883;0.117;0.000200;0.928828;0.000010;0.999781
0.882;0.118;0.000200;0.928828;0.000010;0.999781
0.881;0.119;0.000200;0.928828;0.000010;0.999781
0.88;0.12;0.000200;0.928828;0.000010;0.999781
0.879;0.121;0.000200;0.928828;0.000010;0.999781
0.878;0.122;0.000200;0.928828;0.000010;0.999781
0.877;0.123;0.000200;0.928828;0.000010;0.999781
0.876;0.124;0.000200;0.928828;0.000010;0.999781
0.875;0.125;0.000200;0.928828;0.000010;0.999781
0.874;0.126;0.000200;0.928828;0.000010;0.999781
0.873;0.127;0.000200;0.928828;0.000010;0.999781
0.872;0.128;0.000200;0.928828;0.000010;0.999781
0.871;0.129;0.000200;0.928828;0.000010;0.999781
0.87;0.13;0.000200;0.928828;0.000010;0.999781
0.869;0.131;0.000200;0.928828;0.000010;0.999781
0.868;0.132;0.000200;0.928828;0.000010;0.999781
0.867;0.133;0.000200;0.928828;0.000010;0.999781
0.866;0.134;0.000200;0.928828;0.000010;0.999781
0.865;0.135;0.000200;0.928828;0.000010;0.999781
0.864;0.136;0.000200;0.928828;0.000010;0.999781
0.863;0.137;0.000200;0.928828;0.000010;0.999781
0.862;0.138;0.000200;0.928828;0.000010;0.999781
0.861;0.139;0.000200;0.928828;0.000010;0.999781
0.86;0.14;0.000200;0.928828;0.000010;0.999781
0.859;0.141;0.000200;0.928828;0.000010;0.999781
0.858;0.142;0.000200;0.928828;0.000010;0.999781
0.857;0.143;0.000200;0.928828;0.000010;0.999781
0.856;0.144;0.000200;0.928828;0.000010;0.999781
0.855;0.145;0.000200;0.928828;0.000010;0.999781
0.854;0.146;0.000200;0.928828;0.000010;0.999781
0.853;0.147;0.000200;0.928828;0.000010;0.999781
0.852;0.148;0.000200;0.928828;0.000010;0.999781
0.851;0.149;0.000200;0.928828;0.000010;0.999781
0.85;0.15;0.000200;0.928828;0.000010;0.999781
0.849;0.151;0.000200;0.928828;0.000010;0.999781
0.848;0.152;0.000200;0.928828;0.000010;0.999781
0.847;0.153;0.000200;0.928828;0.000010;0.999781
0.846;0.154;0.000200;0.928828;0.000010;0.999781
0.845;0.155;0.000200;0.928828;0.000010;0.999781
0.844;0.156;0.000200;0.928828;0.000010;0.999781
0.843;0.157;0.000200;0.928828;0.000010;0.999781
0.842;0.158;0.000200;0.928828;0.000010;0.999781
0.841;0.159;0.000200;0.928828;0.000010;0.999781
0.84;0.16;0.000200;0.928828;0.000010;0.999781
0.839;0.161;0.000200;0.928828;0.000010;0.999781
0.838;0.162;0.000200;0.928828;0.000010;0.999781
0.837;0.163;0.000200;0.928828;0.000010;0.999781
0.836;0.164;0.000200;0.928828;0.000010;0.999781
0.835;0.165;0.000200;0.928828;0.000010;0.999781
0.834;0.166;0.000200;0.928828;0.000010;0.999781
0.833;0.167;0.000200;0.928828;0.000010;0.999781
0.832;0.168;0.000200;0.928828;0.000010;0.999781
0.831;0.169;0.000200;0.928828;0.000010;0.999781
0.83;0.17;0.000200;0.928828;0.000010;0.999781
0.829;0.171;0.000200;0.928828;0.000010;0.999781
0.828;0.172;0.000200;0.928828;0.000010;0.999781
0.827;0.173;0.000200;0.928828;0.000010;0.999781
0.826;0.174;0.000200;0.928828;0.000010;0.999781
0.825;0.175;0.000200;0.928828;0.000010;0.999781
0.824;0.176;0.000200;0.928828;0.000010;0.999781
0.823;0.177;0.000200;0.928828;0.000010;0.999781
0.822;0.178;0.000200;0.928828;0.000010;0.999781
0.821;0.179;0.000200;0.928828;0.000010;0.999781
0.82;0.18;0.000200;0.928828;0.000010;0.999781
0.819;0.181;0.000200;0.928828;0.000010;0.999781
0.818;0.182;0.000200;0.928828;0.000010;0.999781
0.817;0.183;0.000200;0.928828;0.000010;0.999781
0.816;0.184;0.000200;0.928828;0.000010;0.999781
0.815;0.185;0.000200;0.928828;0.000010;0.999781
0.814;0.186;0.000200;0.928828;0.000010;0.999781
0.813;0.187;0.000200;0.928828;0.000010;0.999781
0.812;0.188;0.000200;0.928828;0.000010;0.999781
0.811;0.189;0.000200;0.928828;0.000010;0.999781
0.81;0.19;0.000200;0.928828;0.000010;0.999781
0.809;0.191;0.000200;0.928828;0.000010;0.999781
0.808;0.192;0.000200;0.928828;0.000010;0.999781
0.807;0.193;0.000200;0.928828;0.000010;0.999781
0.806;0.194;0.000200;0.928828;0.000010;0.999781
0.805;0.195;0.000200;0.928828;0.000010;0.999781
