a-Al(650K),a-Fe(650K),a-Al(700K),a-Fe(700K),a-Al(750K),a-Fe(750K),a-Al(800K),a-Fe(800K)
9.973015349092111e-10,2.53025959998796e-09,1.236467320723166e-09,1.9101606598999457e-08,1.489674249004747e-09,1.1013382842961675e-07,1.7534217720106783e-09,5.101116253096129e-07
1.0758645722104983e-09,2.53025959998796e-09,1.3347441259251372e-09,1.9101606598999457e-08,1.608988876462897e-09,1.1013382842961675e-07,1.8948013573520703e-09,5.101116253096129e-07
1.1903255768026991e-09,2.53025959998796e-09,1.463553842123457e-09,1.9101606598999457e-08,1.7505959430696563e-09,1.1013382842961675e-07,2.04758047443783e-09,5.101116253096129e-07
1.316964063496887e-09,2.53025959998796e-09,1.6206747714149112e-09,1.9101606598999457e-08,1.939999237649589e-09,1.1013382842961675e-07,2.2706177888227272e-09,5.101116253096129e-07
1.420708711653249e-09,2.53025959998796e-09,1.732346510817245e-09,1.9101606598999457e-08,2.057218991292488e-09,1.1013382842961675e-07,2.3910880235571282e-09,5.101116253096129e-07
1.5326259078080101e-09,2.53025959998796e-09,1.8885418918864207e-09,1.9101606598999457e-08,2.2632108769180676e-09,1.1013382842961675e-07,2.65154267131816e-09,5.101116253096129e-07
1.695681654416808e-09,2.53025959998796e-09,2.050504974375624e-09,1.9101606598999457e-08,2.417548146897596e-09,1.1013382842961675e-07,2.792223313209722e-09,5.101116253096129e-07
1.8760848674665062e-09,2.53025959998796e-09,2.2483893169116862e-09,1.9101606598999457e-08,2.630316492577757e-09,1.1013382842961675e-07,3.017362170559184e-09,5.101116253096129e-07
1.973361086295193e-09,2.53025959998796e-09,2.38941495970166e-09,1.9101606598999457e-08,2.8203213461880904e-09,1.1013382842961675e-07,3.26065412649817e-09,5.101116253096129e-07
2.1833065554506836e-09,2.53025959998796e-09,2.6200058698702e-09,1.9101606598999457e-08,3.0685377500206062e-09,1.1013382842961675e-07,3.523562877663831e-09,5.101116253096129e-07
2.3552978623442724e-09,2.53025959998796e-09,2.82824898490106e-09,1.9101606598999457e-08,3.314310568292498e-09,1.1013382842961675e-07,3.807670139544801e-09,5.101116253096129e-07
2.5408378894453444e-09,2.53025959998796e-09,3.053043663978581e-09,1.9101606598999457e-08,3.579768423256834e-09,1.1013382842961675e-07,4.11468516242109e-09,5.101116253096129e-07
2.811157095824917e-09,2.53025959998796e-09,3.3476781787591446e-09,1.9101606598999457e-08,3.8948237433801864e-09,1.1013382842961675e-07,4.446455014580726e-09,5.101116253096129e-07
2.9569174169902196e-09,2.53025959998796e-09,3.5227943016979674e-09,1.9101606598999457e-08,4.1001111450956645e-09,1.1013382842961675e-07,4.682366792414662e-09,5.101116253096129e-07
3.271503236420525e-09,2.53025959998796e-09,3.862762184240455e-09,1.9101606598999457e-08,4.4609618138057375e-09,1.1013382842961675e-07,5.059909198979382e-09,5.101116253096129e-07
3.441132803954193e-09,2.53025959998796e-09,4.105046078706543e-09,1.9101606598999457e-08,4.7832060755838246e-09,1.1013382842961675e-07,5.467893105553367e-09,5.101116253096129e-07
3.807234196127101e-09,2.53025959998796e-09,4.5012042712085815e-09,1.9101606598999457e-08,5.204175910271619e-09,1.1013382842961675e-07,5.908773030905109e-09,5.101116253096129e-07
4.107151394381789e-09,2.53025959998796e-09,4.858968660062078e-09,1.9101606598999457e-08,5.621001474904661e-09,1.1013382842961675e-07,6.3852014033142284e-09,5.101116253096129e-07
4.430694753039318e-09,2.53025959998796e-09,5.1937733300310574e-09,1.9101606598999457e-08,5.9606368702840035e-09,1.1013382842961675e-07,6.723975597575507e-09,5.101116253096129e-07
4.779725437310083e-09,2.53025959998796e-09,5.606584442192211e-09,1.9101606598999457e-08,6.438050753263024e-09,1.1013382842961675e-07,7.266134305198233e-09,5.101116253096129e-07
5.156251226830171e-09,2.53025959998796e-09,6.052206576994294e-09,1.9101606598999457e-08,6.953702834713269e-09,1.1013382842961675e-07,7.852007636704651e-09,5.101116253096129e-07
5.562438065302394e-09,2.53025959998796e-09,6.4692306755956794e-09,1.9101606598999457e-08,7.373863480847681e-09,1.1013382842961675e-07,8.26860492039837e-09,5.101116253096129e-07
6.000622519967086e-09,2.53025959998796e-09,6.983417595263145e-09,1.9101606598999457e-08,7.964468960355941e-09,1.1013382842961675e-07,8.935308136737006e-09,5.101116253096129e-07
6.473325222575493e-09,2.53025959998796e-09,7.538473082093367e-09,1.9101606598999457e-08,8.602378656077475e-09,1.1013382842961675e-07,9.655768085070389e-09,5.101116253096129e-07
6.983265369184071e-09,2.53025959998796e-09,8.05790758947462e-09,1.9101606598999457e-08,9.122156544253396e-09,1.1013382842961675e-07,1.0168065951085328e-08,5.101116253096129e-07
7.345352213959321e-09,2.53025959998796e-09,8.563323439301173e-09,1.9101606598999457e-08,9.781109192610404e-09,1.1013382842961675e-07,1.0987923997127436e-08,5.101116253096129e-07
8.126822684509245e-09,2.53025959998796e-09,9.38972847117671e-09,1.9101606598999457e-08,1.0641944342677417e-08,1.1013382842961675e-07,1.1873887752838769e-08,5.101116253096129e-07
8.548203718784003e-09,2.53025959998796e-09,9.88090257977344e-09,1.9101606598999457e-08,1.1202857299784174e-08,1.1013382842961675e-07,1.2503870505478117e-08,5.101116253096129e-07
9.2215936857201e-09,2.53025959998796e-09,1.066625575634114e-08,1.9101606598999457e-08,1.2100143901927917e-08,1.1013382842961675e-07,1.3512066055143205e-08,5.101116253096129e-07
9.948030358430586e-09,2.53025959998796e-09,1.1514030316680674e-08,1.9101606598999457e-08,1.306929817361719e-08,1.1013382842961675e-07,1.4601553094984751e-08,5.101116253096129e-07
1.0463842193407926e-08,2.53025959998796e-09,1.2116326069375918e-08,1.9101606598999457e-08,1.375815149306884e-08,1.1013382842961675e-07,1.53762552652482e-08,5.101116253096129e-07
1.1577088154180572e-08,2.53025959998796e-09,1.3285614243827278e-08,1.9101606598999457e-08,1.4969006026226322e-08,1.1013382842961675e-07,1.6616053144004626e-08,5.101116253096129e-07
1.2177367693882781e-08,2.53025959998796e-09,1.3980581063517968e-08,1.9101606598999457e-08,1.575798867495606e-08,1.1013382842961675e-07,1.7497636928149787e-08,5.101116253096129e-07
1.313664726869372e-08,2.53025959998796e-09,1.5091784585650737e-08,1.9101606598999457e-08,1.7020115981981796e-08,1.1013382842961675e-07,1.8908483247526305e-08,5.101116253096129e-07
1.4171494677685415e-08,2.53025959998796e-09,1.6291308704902545e-08,1.9101606598999457e-08,1.838333267116153e-08,1.1013382842961675e-07,2.043308706141904e-08,5.101116253096129e-07
1.4906295880606272e-08,2.53025959998796e-09,1.7143502573507762e-08,1.9101606598999457e-08,1.9352276799980785e-08,1.1013382842961675e-07,2.1517187964157887e-08,5.101116253096129e-07
1.6080548439436198e-08,2.53025959998796e-09,1.850610119189325e-08,1.9101606598999457e-08,2.090228660809772e-08,1.1013382842961675e-07,2.325213340663243e-08,5.101116253096129e-07
1.7347303460511677e-08,2.53025959998796e-09,1.9781254323233915e-08,1.9101606598999457e-08,2.2165256633664923e-08,1.1013382842961675e-07,2.4485802051069934e-08,5.101116253096129e-07
1.824677241139724e-08,2.53025959998796e-09,2.1021993231368217e-08,1.9101606598999457e-08,2.376639716325472e-08,1.1013382842961675e-07,2.6460108858474283e-08,5.101116253096129e-07
1.968417304842243e-08,2.53025959998796e-09,2.2470502575289035e-08,1.9101606598999457e-08,2.520242412985881e-08,1.1013382842961675e-07,2.7863980325072426e-08,5.101116253096129e-07
2.1234805798214523e-08,2.53025959998796e-09,2.4018820690734583e-08,1.9101606598999457e-08,2.6725219546667897e-08,1.1013382842961675e-07,2.9342335804766192e-08,5.101116253096129e-07
2.23358442701048e-08,2.53025959998796e-09,2.5525352322730063e-08,1.9101606598999457e-08,2.865575583079845e-08,1.1013382842961675e-07,3.170822821881375e-08,5.101116253096129e-07
2.4095364039326574e-08,2.53025959998796e-09,2.728416324705168e-08,1.9101606598999457e-08,3.038721044879465e-08,1.1013382842961675e-07,3.339054468587226e-08,5.101116253096129e-07
2.5344724313849584e-08,2.53025959998796e-09,2.8995506843536645e-08,1.9101606598999457e-08,3.2582276133567536e-08,1.1013382842961675e-07,3.608284692448236e-08,5.101116253096129e-07
2.7341270445547933e-08,2.53025959998796e-09,3.09934269328606e-08,1.9101606598999457e-08,3.455098122755972e-08,1.1013382842961675e-07,3.7997263811496905e-08,5.101116253096129e-07
2.8758933075334443e-08,2.53025959998796e-09,3.2937426542978906e-08,1.9101606598999457e-08,3.704682313432668e-08,1.1013382842961675e-07,4.106100893405058e-08,5.101116253096129e-07
3.1024435586717346e-08,2.53025959998796e-09,3.520696252784554e-08,1.9101606598999457e-08,3.9285287663992767e-08,1.1013382842961675e-07,4.323954792421728e-08,5.101116253096129e-07
3.263307272115853e-08,2.53025959998796e-09,3.741524758053896e-08,1.9101606598999457e-08,4.212311929098512e-08,1.1013382842961675e-07,4.672598196619069e-08,5.101116253096129e-07
3.52037629484441e-08,2.53025959998796e-09,3.999332545969323e-08,1.9101606598999457e-08,4.466830671690492e-08,1.1013382842961675e-07,4.920508260715808e-08,5.101116253096129e-07
3.7029100920915766e-08,2.53025959998796e-09,4.20853652926644e-08,1.9101606598999457e-08,4.7022672723974953e-08,1.1013382842961675e-07,5.1815714780036354e-08,5.101116253096129e-07
3.994609095357197e-08,2.53025959998796e-09,4.543039122048426e-08,1.9101606598999457e-08,5.078892744838578e-08,1.1013382842961675e-07,5.5993650965560537e-08,5.101116253096129e-07
4.201732171308341e-08,2.53025959998796e-09,4.780684246499264e-08,1.9101606598999457e-08,5.346589761154559e-08,1.1013382842961675e-07,5.8964458429794594e-08,5.101116253096129e-07
4.532726188413259e-08,2.53025959998796e-09,5.160662242319283e-08,1.9101606598999457e-08,5.774821883680596e-08,1.1013382842961675e-07,6.371880265875041e-08,5.101116253096129e-07
4.767750985127321e-08,2.53025959998796e-09,5.430615061979733e-08,1.9101606598999457e-08,6.079199760057007e-08,1.1013382842961675e-07,6.70994769188929e-08,5.101116253096129e-07
5.143333479865873e-08,2.53025959998796e-09,5.8048087254415295e-08,1.9101606598999457e-08,6.44652067667927e-08,1.1013382842961675e-07,7.065951673482635e-08,5.101116253096129e-07
5.410018661209503e-08,2.53025959998796e-09,6.10845667011273e-08,1.9101606598999457e-08,6.786302286070401e-08,1.1013382842961675e-07,7.440843855212498e-08,5.101116253096129e-07
5.690531642408364e-08,2.53025959998796e-09,6.491597179577792e-08,1.9101606598999457e-08,7.276521001597145e-08,1.1013382842961675e-07,8.040804136094406e-08,5.101116253096129e-07
6.138806746815337e-08,2.53025959998796e-09,6.93889725565036e-08,1.9101606598999457e-08,7.716187153331306e-08,1.1013382842961675e-07,8.467418234907995e-08,5.101116253096129e-07
6.457107863574883e-08,2.53025959998796e-09,7.37412546029058e-08,1.9101606598999457e-08,8.27357749576183e-08,1.1013382842961675e-07,9.150151903482593e-08,5.101116253096129e-07
6.965770477826877e-08,2.53025959998796e-09,7.88223568156761e-08,1.9101606598999457e-08,8.773488370455623e-08,1.1013382842961675e-07,9.63562372225117e-08,5.101116253096129e-07
7.326950201122946e-08,2.53025959998796e-09,8.294553257792305e-08,1.9101606598999457e-08,9.23591921462746e-08,1.1013382842961675e-07,1.0146852805959625e-07,5.101116253096129e-07
7.706857327645334e-08,2.53025959998796e-09,8.728439052798074e-08,1.9101606598999457e-08,9.722723748785809e-08,1.1013382842961675e-07,1.0685205735883305e-07,5.101116253096129e-07
8.106462885414129e-08,2.53025959998796e-09,9.275912623640656e-08,1.9101606598999457e-08,1.0425059269166937e-07,1.1013382842961675e-07,1.1546761113112512e-07,5.101116253096129e-07
8.745054448502658e-08,2.53025959998796e-09,9.915064485257981e-08,1.9101606598999457e-08,1.1054968217339989e-07,1.1013382842961675e-07,1.2159387786155554e-07,5.101116253096129e-07
9.198491201260069e-08,2.53025959998796e-09,1.0433718775973169e-07,1.9101606598999457e-08,1.1637650734165625e-07,1.1013382842961675e-07,1.280451807097743e-07,5.101116253096129e-07
9.923107961652344e-08,2.53025959998796e-09,1.1263010849037193e-07,1.9101606598999457e-08,1.2569761873740394e-07,1.1013382842961675e-07,1.3836955037523866e-07,5.101116253096129e-07
1.043762755417052e-07,2.53025959998796e-09,1.1852175842558913e-07,1.9101606598999457e-08,1.3232285758069728e-07,1.1013382842961675e-07,1.457109057965938e-07,5.101116253096129e-07
1.097882532172298e-07,2.53025959998796e-09,1.247215989452284e-07,1.9101606598999457e-08,1.392972978660838e-07,1.1013382842961675e-07,1.534417652618411e-07,5.101116253096129e-07
1.1548084545011785e-07,2.53025959998796e-09,1.3124575141382544e-07,1.9101606598999457e-08,1.4663934521636956e-07,1.1013382842961675e-07,1.6158279435539853e-07,5.101116253096129e-07
1.214686022874177e-07,2.53025959998796e-09,1.381111805000535e-07,1.9101606598999457e-08,1.5436837537335485e-07,1.1013382842961675e-07,1.7015575509800305e-07,5.101116253096129e-07
1.2776682820556721e-07,2.53025959998796e-09,1.453357382897272e-07,1.9101606598999457e-08,1.6250478533062144e-07,1.1013382842961675e-07,1.791835641193951e-07,5.101116253096129e-07
1.3783173810375033e-07,2.53025959998796e-09,1.568873028166652e-07,1.9101606598999457e-08,1.755205154037178e-07,1.1013382842961675e-07,1.9363125628312534e-07,5.101116253096129e-07
1.4497840324125274e-07,2.53025959998796e-09,1.6509403439017885e-07,1.9101606598999457e-08,1.847718070998399e-07,1.1013382842961675e-07,2.039045849829949e-07,5.101116253096129e-07
1.5249562760764033e-07,2.53025959998796e-09,1.7544922161044445e-07,1.9101606598999457e-08,1.9811907548308865e-07,1.1013382842961675e-07,2.2034554980633385e-07,5.101116253096129e-07
1.6450856377655174e-07,2.53025959998796e-09,1.8753845758770368e-07,1.9101606598999457e-08,2.100899406099343e-07,1.1013382842961675e-07,2.3203623603213575e-07,5.101116253096129e-07
1.7303843965084084e-07,2.53025959998796e-09,1.9734854262008924e-07,1.9101606598999457e-08,2.211633089767771e-07,1.1013382842961675e-07,2.443471850431415e-07,5.101116253096129e-07
1.8201059512906324e-07,2.53025959998796e-09,2.0767179049694133e-07,1.9101606598999457e-08,2.328203296909513e-07,1.1013382842961675e-07,2.573113055938317e-07,5.101116253096129e-07
1.914479626959285e-07,2.53025959998796e-09,2.18535044625231e-07,1.9101606598999457e-08,2.4509176575529984e-07,1.1013382842961675e-07,2.709632524504523e-07,5.101116253096129e-07
2.0137466390037025e-07,2.53025959998796e-09,2.2996655258314965e-07,1.9101606598999457e-08,2.580100016213727e-07,1.1013382842961675e-07,2.853395190276774e-07,5.101116253096129e-07
2.118160710093029e-07,2.53025959998796e-09,2.419960395719197e-07,1.9101606598999457e-08,2.7160912865234136e-07,1.1013382842961675e-07,3.004785349402105e-07,5.101116253096129e-07
2.227988718581575e-07,2.53025959998796e-09,2.546547857098455e-07,1.9101606598999457e-08,2.8592503509047255e-07,1.1013382842961675e-07,3.1642076873010095e-07,5.101116253096129e-07
2.3435113806396425e-07,2.53025959998796e-09,2.679757073696028e-07,1.9101606598999457e-08,3.009955007665885e-07,1.1013382842961675e-07,3.3320883604438094e-07,5.101116253096129e-07
2.4650239677532864e-07,2.53025959998796e-09,2.8199344277024665e-07,1.9101606598999457e-08,3.168602968014392e-07,1.1013382842961675e-07,3.508876135521786e-07,5.101116253096129e-07
2.592837061426895e-07,2.53025959998796e-09,2.996809074055344e-07,1.9101606598999457e-08,3.397491751849231e-07,1.1013382842961675e-07,3.791799195434244e-07,5.101116253096129e-07
2.727277347017545e-07,2.53025959998796e-09,3.153571330823708e-07,1.9101606598999457e-08,3.576565902578732e-07,1.1013382842961675e-07,3.992977456869664e-07,5.101116253096129e-07
2.868688448730264e-07,2.53025959998796e-09,3.318533778041261e-07,1.9101606598999457e-08,3.765078649131765e-07,1.1013382842961675e-07,4.204829462031528e-07,5.101116253096129e-07
3.017431807908281e-07,2.53025959998796e-09,3.492125365410497e-07,1.9101606598999457e-08,3.963527478670819e-07,1.1013382842961675e-07,4.427921518652709e-07,5.101116253096129e-07
3.173887606863211e-07,2.53025959998796e-09,3.6747974808746297e-07,1.9101606598999457e-08,4.172436099788058e-07,1.1013382842961675e-07,4.662849980573274e-07,5.101116253096129e-07
3.3384557406064504e-07,2.53025959998796e-09,3.867025124355794e-07,1.9101606598999457e-08,4.392355824577963e-07,1.1013382842961675e-07,4.910242841871276e-07,5.101116253096129e-07
3.511556838965428e-07,2.53025959998796e-09,4.029434456909031e-07,1.9101606598999457e-08,4.539652085764329e-07,1.1013382842961675e-07,5.03881873337747e-07,5.101116253096129e-07
3.693633341697351e-07,2.53025959998796e-09,4.282172530378538e-07,1.9101606598999457e-08,4.86758065726188e-07,1.1013382842961675e-07,5.445102101422135e-07,5.101116253096129e-07
3.885150629348147e-07,2.53025959998796e-09,4.506171795311763e-07,1.9101606598999457e-08,5.124139888592478e-07,1.1013382842961675e-07,5.733998247457906e-07,5.101116253096129e-07
4.086598212747317e-07,2.53025959998796e-09,4.74188840006134e-07,1.9101606598999457e-08,5.394221780114199e-07,1.1013382842961675e-07,6.038222110337126e-07,5.101116253096129e-07
4.298490984178793e-07,2.53025959998796e-09,5.039313696751288e-07,1.9101606598999457e-08,5.783881474133669e-07,1.1013382842961675e-07,6.525088049716761e-07,5.101116253096129e-07
4.521370533425826e-07,2.53025959998796e-09,5.250957414517955e-07,1.9101606598999457e-08,5.977842107176607e-07,1.1013382842961675e-07,6.695949051945526e-07,5.101116253096129e-07
4.755806532053677e-07,2.53025959998796e-09,5.525633549751524e-07,1.9101606598999457e-08,6.292920723027564e-07,1.1013382842961675e-07,7.051210319618292e-07,5.101116253096129e-07
5.002398189468252e-07,2.53025959998796e-09,5.814677917920729e-07,1.9101606598999457e-08,6.624606424242559e-07,1.1013382842961675e-07,7.425320381887529e-07,5.101116253096129e-07
5.261775784472287e-07,2.53025959998796e-09,6.118842117330638e-07,1.9101606598999457e-08,6.973774532948841e-07,1.1013382842961675e-07,7.81927928319956e-07,5.101116253096129e-07
5.534602276233843e-07,2.53025959998796e-09,6.43891706218661e-07,1.9101606598999457e-08,7.341346507534856e-07,1.1013382842961675e-07,8.234140126507478e-07,5.101116253096129e-07
5.821574998784352e-07,2.53025959998796e-09,6.70934205007949e-07,1.9101606598999457e-08,7.587536237106073e-07,1.1013382842961675e-07,8.449753069013016e-07,5.101116253096129e-07
6.123427443377705e-07,2.53025959998796e-09,7.060305883680697e-07,1.9101606598999457e-08,7.987458211029786e-07,1.1013382842961675e-07,8.898064423166347e-07,5.101116253096129e-07
6.440931133265674e-07,2.53025959998796e-09,7.429628538694891e-07,1.9101606598999457e-08,8.408459172945001e-07,1.1013382842961675e-07,9.370161451128284e-07,5.101116253096129e-07
6.774897595681715e-07,2.53025959998796e-09,7.818270360010663e-07,1.9101606598999457e-08,8.851650148911108e-07,1.1013382842961675e-07,9.867306129142108e-07,5.101116253096129e-07
6.948319415711091e-07,2.53025959998796e-09,8.099513953395404e-07,1.9101606598999457e-08,9.250408604469724e-07,1.1013382842961675e-07,1.0390827389050106e-06,5.101116253096129e-07
7.308594290102624e-07,2.53025959998796e-09,8.523197296139353e-07,1.9101606598999457e-08,9.737976841786182e-07,1.1013382842961675e-07,1.0942124670699885e-06,5.101116253096129e-07
7.495677519885135e-07,2.53025959998796e-09,8.82979895153287e-07,1.9101606598999457e-08,1.017666347539356e-06,1.1013382842961675e-07,1.1522671662827433e-06,5.101116253096129e-07
7.884333267467732e-07,2.53025959998796e-09,9.291683301268964e-07,1.9101606598999457e-08,1.071305252420411e-06,1.1013382842961675e-07,1.213402024241734e-06,5.101116253096129e-07
8.293141067980631e-07,2.53025959998796e-09,9.587050597416018e-07,1.9101606598999457e-08,1.0870650268366e-06,1.1013382842961675e-07,1.213402024241734e-06,5.101116253096129e-07
8.723145818456269e-07,2.53025959998796e-09,1.0088546572056034e-06,1.9101606598999457e-08,1.144361780055368e-06,1.1013382842961675e-07,1.2777804623069977e-06,5.101116253096129e-07
9.175446594516896e-07,2.53025959998796e-09,1.0616275662921382e-06,1.9101606598999457e-08,1.2046785163003273e-06,1.1013382842961675e-07,1.3455745723465243e-06,5.101116253096129e-07
9.651199459569572e-07,2.53025959998796e-09,1.1062143530124202e-06,1.9101606598999457e-08,1.245077028731778e-06,1.1013382842961675e-07,1.3808087666214429e-06,5.101116253096129e-07
9.898248001943394e-07,2.53025959998796e-09,1.1347784532043969e-06,1.9101606598999457e-08,1.2774682969142169e-06,1.1013382842961675e-07,1.4169655767600348e-06,5.101116253096129e-07
1.0151620419659831e-06,2.53025959998796e-09,1.1755993963515131e-06,1.9101606598999457e-08,1.3350170337636112e-06,1.1013382842961675e-07,1.492144312909794e-06,5.101116253096129e-07
1.0677988531536447e-06,2.53025959998796e-09,1.23709467678932e-06,1.9101606598999457e-08,1.4053827797291522e-06,1.1013382842961675e-07,1.5713117432535238e-06,5.101116253096129e-07
1.1231649171871257e-06,2.53025959998796e-09,1.2764198773922342e-06,1.9101606598999457e-08,1.426057107169333e-06,1.1013382842961675e-07,1.5713117432535238e-06,5.101116253096129e-07
1.1814017475990343e-06,2.53025959998796e-09,1.343189049407999e-06,1.9101606598999457e-08,1.5012213706937786e-06,1.1013382842961675e-07,1.6546794925429508e-06,5.101116253096129e-07
