X_Cu;X_Al;a-Al(700);a-Cu(700)
0.158;0.842;0.82554831;0.003266184
0.159;0.841;0.82418797;0.003294908
0.16;0.84;0.82282286;0.003323816
0.161;0.839;0.82145298;0.00335291
0.162;0.838;0.82007829;0.003382194
0.163;0.837;0.81869878;0.003411669
0.164;0.836;0.81731443;0.003441337
0.165;0.835;0.81592523;0.0034712
0.166;0.834;0.81453114;0.00350126
0.167;0.833;0.81313217;0.003531519
0.168;0.832;0.81172829;0.00356198
0.169;0.831;0.81031949;0.003592645
0.17;0.83;0.80890574;0.003623515
0.171;0.829;0.80748703;0.003654593
0.172;0.828;0.80606335;0.003685881
0.173;0.827;0.80463468;0.003717381
0.174;0.826;0.80320101;0.003749096
0.175;0.825;0.80176232;0.003781028
0.176;0.824;0.8003186;0.003813179
0.177;0.823;0.79886983;0.003845551
0.178;0.822;0.797416;0.003878147
0.179;0.821;0.79595709;0.003910969
0.18;0.82;0.7944931;0.00394402
0.181;0.819;0.79302402;0.003977301
0.182;0.818;0.79154982;0.004010815
0.183;0.817;0.7900705;0.004044564
0.184;0.816;0.78858604;0.004078552
0.185;0.815;0.78709644;0.00411278
0.186;0.814;0.78560168;0.004147251
0.187;0.813;0.78410176;0.004181967
0.188;0.812;0.78259666;0.004216931
0.189;0.811;0.78108638;0.004252145
0.19;0.81;0.7795709;0.004287613
0.191;0.809;0.77805022;0.004323335
0.192;0.808;0.77652433;0.004359316
0.193;0.807;0.77499322;0.004395558
0.194;0.806;0.77345688;0.004432063
0.195;0.805;0.7719153;0.004468835
0.196;0.804;0.77036849;0.004505875
0.197;0.803;0.76881643;0.004543186
0.198;0.802;0.76725911;0.004580772
0.199;0.801;0.76569654;0.004618635
0.2;0.8;0.7641287;0.004656777
0.201;0.799;0.76255559;0.004695202
0.202;0.798;0.76097721;0.004733913
0.203;0.797;0.75939355;0.004772912
0.204;0.796;0.75780461;0.004812201
0.205;0.795;0.75621038;0.004851786
0.206;0.794;0.75461087;0.004891667
0.207;0.793;0.75300607;0.004931848
0.208;0.792;0.75139597;0.004972332
0.209;0.791;0.74978059;0.005013122
0.21;0.79;0.74815991;0.005054221
0.211;0.789;0.74653394;0.005095632
0.212;0.788;0.74490267;0.005137359
0.213;0.787;0.74326611;0.005179404
0.214;0.786;0.74162425;0.00522177
0.215;0.785;0.7399771;0.005264461
0.216;0.784;0.73832466;0.00530748
0.217;0.783;0.73666694;0.00535083
0.218;0.782;0.73500392;0.005394515
0.219;0.781;0.73333562;0.005438537
0.22;0.78;0.73166204;0.005482901
0.221;0.779;0.72998319;0.005527609
0.222;0.778;0.72829906;0.005572664
0.223;0.777;0.72660966;0.005618071
0.224;0.776;0.724915;0.005663833
0.225;0.775;0.72321509;0.005709953
0.226;0.774;0.72150992;0.005756434
0.227;0.773;0.71979951;0.005803281
0.228;0.772;0.71808386;0.005850497
0.229;0.771;0.71636297;0.005898085
0.23;0.77;0.71463687;0.005946049
0.231;0.769;0.71290555;0.005994394
0.232;0.768;0.71116903;0.006043121
0.233;0.767;0.70942731;0.006092236
0.234;0.766;0.7076804;0.006141742
0.235;0.765;0.70592831;0.006191643
0.236;0.764;0.70417106;0.006241943
0.237;0.763;0.70240866;0.006292645
0.238;0.762;0.70064111;0.006343754
0.239;0.761;0.69886843;0.006395273
0.24;0.76;0.69709063;0.006447207
0.241;0.759;0.69530772;0.006499559
0.242;0.758;0.69351972;0.006552334
0.243;0.757;0.69172664;0.006605536
0.244;0.756;0.6899285;0.006659169
0.245;0.755;0.68812531;0.006713237
0.246;0.754;0.68631708;0.006767744
0.247;0.753;0.68450383;0.006822694
0.248;0.752;0.68268559;0.006878093
0.249;0.751;0.68086235;0.006933944
0.25;0.75;0.67903415;0.006990251
0.251;0.749;0.677201;0.00704702
0.252;0.748;0.67536291;0.007104254
0.253;0.747;0.67351991;0.007161958
0.254;0.746;0.67167202;0.007220137
0.255;0.745;0.66981925;0.007278795
0.256;0.744;0.66796163;0.007337937
0.257;0.743;0.66609917;0.007397567
0.258;0.742;0.6642319;0.007457691
0.259;0.741;0.66235983;0.007518312
0.26;0.74;0.660483;0.007579437
0.261;0.739;0.65860142;0.007641069
0.262;0.738;0.65671512;0.007703214
0.263;0.737;0.65482411;0.007765876
0.264;0.736;0.65292843;0.007829061
0.265;0.735;0.6510281;0.007892773
0.266;0.734;0.64912314;0.007957018
0.267;0.733;0.64721358;0.008021801
0.268;0.732;0.64529944;0.008087127
0.269;0.731;0.64338075;0.008153002
0.27;0.73;0.64145754;0.00821943
