X_Cu;X_Al;a-Al(700);a-Cu(700)
0.694;0.306;0.004242674;0.32879662
0.695;0.305;0.004242674;0.32879662
0.696;0.304;0.004242674;0.32879662
0.697;0.303;0.004242674;0.32879662
0.698;0.302;0.004242674;0.32879662
0.699;0.301;0.004242674;0.32879662
0.7;0.3;0.004242674;0.32879662
0.701;0.299;0.004242674;0.32879662
0.702;0.298;0.004242674;0.32879662
0.703;0.297;0.004242674;0.32879662
0.704;0.296;0.004242674;0.32879662
0.705;0.295;0.004242674;0.32879662
0.706;0.294;0.004242674;0.32879662
0.707;0.293;0.004242674;0.32879662
0.708;0.292;0.004242674;0.32879662
0.709;0.291;0.004242674;0.32879662
0.71;0.29;0.004242674;0.32879662
0.711;0.289;0.004242674;0.32879662
0.712;0.288;0.004242674;0.32879662
0.713;0.287;0.004242674;0.32879662
0.714;0.286;0.004242674;0.32879662
0.715;0.285;0.004242674;0.32879662
0.716;0.284;0.004242674;0.32879662
0.717;0.283;0.004242674;0.32879662
0.718;0.282;0.004242674;0.32879662
0.719;0.281;0.004242674;0.32879662
0.72;0.28;0.004242674;0.32879662
0.721;0.279;0.004242674;0.32879662
0.722;0.278;0.004242674;0.32879662
0.723;0.277;0.004242674;0.32879662
0.724;0.276;0.004242674;0.32879662
0.725;0.275;0.004242674;0.32879662
0.726;0.274;0.004242674;0.32879662
0.727;0.273;0.004242674;0.32879662
0.728;0.272;0.004242674;0.32879662
0.729;0.271;0.004242674;0.32879662
0.73;0.27;0.004242674;0.32879662
0.731;0.269;0.004242674;0.32879662
0.732;0.268;0.004242674;0.32879662
0.733;0.267;0.004242674;0.32879662
0.734;0.266;0.004242674;0.32879662
0.735;0.265;0.004242674;0.32879662
0.736;0.264;0.004242674;0.32879662
0.737;0.263;0.004242674;0.32879662
0.738;0.262;0.004242674;0.32879662
0.739;0.261;0.004242674;0.32879662
0.74;0.26;0.004242674;0.32879662
0.741;0.259;0.004242674;0.32879662
0.742;0.258;0.004242674;0.32879662
0.743;0.257;0.004242674;0.32879662
0.744;0.256;0.004242674;0.32879662
0.745;0.255;0.004242674;0.32879662
0.746;0.254;0.004242674;0.32879662
0.747;0.253;0.004242674;0.32879662
0.748;0.252;0.004242674;0.32879662
0.749;0.251;0.00417866;0.33047846
0.75;0.25;0.004063342;0.33358399
0.751;0.249;0.00395084;0.3367123
0.752;0.248;0.003841098;0.33986346
0.753;0.247;0.003734056;0.34303752
0.754;0.246;0.003629658;0.34623452
0.755;0.245;0.00352785;0.34945452
0.756;0.244;0.003428575;0.35269756
0.757;0.243;0.003331781;0.3559637
0.758;0.242;0.003237414;0.35925297
0.759;0.241;0.003145423;0.36256541
0.76;0.24;0.003055756;0.36590108
0.761;0.239;0.002968363;0.36925999
0.762;0.238;0.002883195;0.37264219
0.763;0.237;0.002800202;0.37604772
0.764;0.236;0.002719338;0.37947659
0.765;0.235;0.002640555;0.38292885
0.766;0.234;0.002563808;0.38640451
0.767;0.233;0.00248905;0.3899036
0.768;0.232;0.002416238;0.39342614
0.769;0.231;0.002345328;0.39697215
0.77;0.23;0.002276277;0.40054164
0.771;0.229;0.002209043;0.40413463
0.772;0.228;0.002143585;0.40775113
0.773;0.227;0.002079862;0.41139114
0.774;0.226;0.002017834;0.41505467
0.775;0.225;0.001957462;0.41874173
0.776;0.224;0.001898708;0.42245231
0.777;0.223;0.001841534;0.42618641
0.778;0.222;0.001785904;0.42994402
0.779;0.221;0.001731781;0.43372514
0.78;0.22;0.001679129;0.43752976
0.781;0.219;0.001627914;0.44135785
0.782;0.218;0.001578102;0.4452094
0.783;0.217;0.001529659;0.44908439
0.784;0.216;0.001527796;0.44923603
0.785;0.215;0.001527796;0.44923603
0.786;0.214;0.001527796;0.44923603
0.787;0.213;0.001527796;0.44923603
0.788;0.212;0.001527796;0.44923603
0.789;0.211;0.001527796;0.44923603
0.79;0.21;0.001527796;0.44923603
0.791;0.209;0.001527796;0.44923603
0.792;0.208;0.001527796;0.44923603
0.793;0.207;0.001527796;0.44923603
0.794;0.206;0.001527796;0.44923603
0.795;0.205;0.001527796;0.44923603
0.796;0.204;0.001527796;0.44923603
0.797;0.203;0.001527796;0.44923603
0.798;0.202;0.001527796;0.44923603
0.799;0.201;0.001527796;0.44923603
0.8;0.2;0.001527796;0.44923603
0.801;0.199;0.001527796;0.44923603
0.802;0.198;0.001527796;0.44923603
0.803;0.197;0.001527796;0.44923603
0.804;0.196;0.001527796;0.44923603
0.805;0.195;0.001527796;0.44923603
0.806;0.194;0.001527796;0.44923603
0.807;0.193;0.001527796;0.44923603
0.808;0.192;0.001527796;0.44923603
0.809;0.191;0.001527796;0.44923603
0.81;0.19;0.001511;0.452059
0.811;0.189;0.0015031;0.4549429
0.812;0.188;0.0014952;0.4578268
0.813;0.187;0.0014873;0.4607107
0.814;0.186;0.0014794;0.4635946
0.815;0.185;0.0014715;0.4664785
0.816;0.184;0.0014636;0.4693624
0.817;0.183;0.0014557;0.4722463
0.818;0.182;0.0014478;0.4751302
0.819;0.181;0.0014399;0.4780141
0.82;0.18;0.001432;0.480898
0.821;0.179;0.0014241;0.4837819
0.822;0.178;0.0014162;0.4866658
0.823;0.177;0.0014083;0.4895497
0.824;0.176;0.0014004;0.4924336
0.825;0.175;0.0013925;0.4953175
0.826;0.174;0.0013846;0.4982014
0.827;0.173;0.0013767;0.5010853
0.828;0.172;0.0013688;0.5039692
0.829;0.171;0.0013609;0.5068531
0.83;0.17;0.001353;0.509737
0.831;0.169;0.0013451;0.5126209
0.832;0.168;0.0013372;0.5155048
0.833;0.167;0.0013293;0.5183887
0.834;0.166;0.0013214;0.5212726
0.835;0.165;0.0013135;0.5241565
0.836;0.164;0.0013056;0.5270404
0.837;0.163;0.0012977;0.5299243
0.838;0.162;0.0012898;0.5328082
0.839;0.161;0.0012819;0.5356921
0.84;0.16;0.001274;0.538576
0.841;0.159;0.0012661;0.5414599
0.842;0.158;0.0012582;0.5443438
0.843;0.157;0.0012503;0.5472277
0.844;0.156;0.0012424;0.5501116
0.845;0.155;0.0012345;0.5529955
0.846;0.154;0.0012266;0.5558794
0.847;0.153;0.0012187;0.5587633
0.848;0.152;0.0012108;0.5616472
0.849;0.151;0.0012029;0.5645311
0.85;0.15;0.001195;0.567415
0.851;0.149;0.0011871;0.5702989
0.852;0.148;0.0011792;0.5731828
0.853;0.147;0.0011713;0.5760667
0.854;0.146;0.0011634;0.5789506
0.855;0.145;0.0011555;0.5818345
0.856;0.144;0.0011476;0.5847184
0.857;0.143;0.0011397;0.5876023
0.858;0.142;0.0011318;0.5904862
0.859;0.141;0.0011239;0.5933701
0.86;0.14;0.001116;0.596254
0.861;0.139;0.0011081;0.5991379
0.862;0.138;0.0011002;0.6020218
0.863;0.137;0.0010923;0.6049057
0.864;0.136;0.0010844;0.6077896
0.865;0.135;0.0010765;0.6106735
0.866;0.134;0.0010686;0.6135574
0.867;0.133;0.0010607;0.6164413
0.868;0.132;0.0010528;0.6193252
0.869;0.131;0.0010449;0.6222091
0.87;0.13;0.001037;0.625093
0.871;0.129;0.0010291;0.6279769
0.872;0.128;0.0010212;0.6308608
0.873;0.127;0.0010133;0.6337447
0.874;0.126;0.0010054;0.6366286
0.875;0.125;0.0009975;0.6395125
0.876;0.124;0.0009896;0.6423964
0.877;0.123;0.0009817;0.6452803
0.878;0.122;0.0009738;0.6481642
0.879;0.121;0.0009659;0.6510481
0.88;0.12;0.000958;0.653932
0.881;0.119;0.0009501;0.6568159
0.882;0.118;0.0009422;0.6596998
0.883;0.117;0.0009343;0.6625837
0.884;0.116;0.0009264;0.6654676
0.885;0.115;0.0009185;0.6683515
0.886;0.114;0.0009106;0.6712354
0.887;0.113;0.0009027;0.6741193
0.888;0.112;0.0008948;0.6770032
0.889;0.111;0.0008869;0.6798871
0.89;0.11;0.000879;0.682771
0.891;0.109;0.0008711;0.6856549
0.892;0.108;0.0008632;0.6885388
0.893;0.107;0.0008553;0.6914227
0.894;0.106;0.0008474;0.6943066
0.895;0.105;0.0008395;0.6971905
0.896;0.104;0.0008316;0.7000744
0.897;0.103;0.0008237;0.7029583
0.898;0.102;0.0008158;0.7058422
0.899;0.101;0.0008079;0.7087261
0.9;0.1;0.0008;0.71161
0.901;0.099;0.0007921;0.7144939
0.902;0.098;0.0007842;0.7173778
0.903;0.097;0.0007763;0.7202617
0.904;0.096;0.0007684;0.7231456
0.905;0.095;0.0007605;0.7260295
0.906;0.094;0.0007526;0.7289134
0.907;0.093;0.0007447;0.7317973
0.908;0.092;0.0007368;0.7346812
0.909;0.091;0.0007289;0.7375651
0.91;0.09;0.000721;0.740449
0.911;0.089;0.0007131;0.7433329
0.912;0.088;0.0007052;0.7462168
0.913;0.087;0.0006973;0.7491007
0.914;0.086;0.0006894;0.7519846
0.915;0.085;0.0006815;0.7548685
0.916;0.084;0.0006736;0.7577524
0.917;0.083;0.0006657;0.7606363
0.918;0.082;0.0006578;0.7635202
0.919;0.081;0.0006499;0.7664041
0.92;0.08;0.000642;0.769288
0.921;0.079;0.0006341;0.7721719
0.922;0.078;0.0006262;0.7750558
0.923;0.077;0.0006183;0.7779397
0.924;0.076;0.0006104;0.7808236
0.925;0.075;0.0006025;0.7837075
0.926;0.074;0.0005946;0.7865914
0.927;0.073;0.0005867;0.7894753
0.928;0.072;0.0005788;0.7923592
0.929;0.071;0.0005709;0.7952431
0.93;0.07;0.000563;0.798127
0.931;0.069;0.0005551;0.8010109
0.932;0.068;0.0005472;0.8038948
0.933;0.067;0.0005393;0.8067787
0.934;0.066;0.0005314;0.8096626
0.935;0.065;0.0005235;0.8125465
0.936;0.064;0.0005156;0.8154304
0.937;0.063;0.0005077;0.8183143
0.938;0.062;0.0004998;0.8211982
0.939;0.061;0.0004919;0.8240821
0.94;0.06;0.000484;0.826966
0.941;0.059;0.0004761;0.8298499
0.942;0.058;0.0004682;0.8327338
0.943;0.057;0.0004603;0.8356177
0.944;0.056;0.0004524;0.8385016
0.945;0.055;0.0004445;0.8413855
0.946;0.054;0.0004366;0.8442694
0.947;0.053;0.0004287;0.8471533
0.948;0.052;0.0004208;0.8500372
0.949;0.051;0.0004129;0.8529211
0.95;0.05;0.000405;0.855805
0.951;0.049;0.0003971;0.8586889
0.952;0.048;0.0003892;0.8615728
0.953;0.047;0.0003813;0.8644567
0.954;0.046;0.0003734;0.8673406
0.955;0.045;0.0003655;0.8702245
0.956;0.044;0.0003576;0.8731084
0.957;0.043;0.0003497;0.8759923
0.958;0.042;0.0003418;0.8788762
0.959;0.041;0.0003339;0.8817601
0.96;0.04;0.000326;0.884644
0.961;0.039;0.0003181;0.8875279
0.962;0.038;0.0003102;0.8904118
0.963;0.037;0.0003023;0.8932957
0.964;0.036;0.0002944;0.8961796
0.965;0.035;0.0002865;0.8990635
0.966;0.034;0.0002786;0.9019474
0.967;0.033;0.0002707;0.9048313
0.968;0.032;0.0002628;0.9077152
0.969;0.031;0.0002549;0.9105991
0.97;0.03;0.000247;0.913483
0.971;0.029;0.0002391;0.9163669
0.972;0.028;0.0002312;0.9192508
0.973;0.027;0.0002233;0.9221347
0.974;0.026;0.0002154;0.9250186
0.975;0.025;0.0002075;0.9279025
0.976;0.024;0.0001996;0.9307864
0.977;0.023;0.0001917;0.9336703
0.978;0.022;0.0001838;0.9365542
0.979;0.021;0.0001759;0.9394381
0.98;0.02;0.000168;0.942322
0.981;0.019;0.0001601;0.9452059
0.982;0.018;0.0001522;0.9480898
0.983;0.017;0.0001443;0.9509737
0.984;0.016;0.0001364;0.9538576
0.985;0.015;0.0001285;0.9567415
0.986;0.014;0.0001206;0.9596254
0.987;0.013;0.0001127;0.9625093
0.988;0.012;0.0001048;0.9653932
0.989;0.011;9.69E-05;0.9682771
0.99;0.01;8.90E-05;0.971161
0.991;0.009;8.11E-05;0.9740449
0.992;0.008;7.32E-05;0.9769288
0.993;0.007;6.53E-05;0.9798127
0.994;0.006;0.0000574;0.9826966
0.995;0.005;0.0000495;0.9855805
0.996;0.004;0.0000416;0.9884644
0.997;0.003;0.0000337;0.9913483
0.998;0.002;0.0000258;0.9942322
0.999;0.001;0.0000179;0.9971161
1;0;0.00001;1
