XSn;aSn;XCu;aCu;Sn_ideal;Cu_ideal;;;T = 450øC
0.102;0.007874982;0.898;0.91222802;0.102;0.898;;;
0.103;0.007874982;0.897;0.91222802;0.103;0.897;;;
0.104;0.007874982;0.896;0.91222802;0.104;0.896;;;
0.105;0.007874982;0.895;0.91222802;0.105;0.895;;;
0.106;0.007874982;0.894;0.91222802;0.106;0.894;;;
0.107;0.007874982;0.893;0.91222802;0.107;0.893;;;
0.108;0.007874982;0.892;0.91222802;0.108;0.892;;;
0.109;0.007874982;0.891;0.91222802;0.109;0.891;;;
0.11;0.007874982;0.89;0.91222802;0.11;0.89;;;
0.111;0.007874982;0.889;0.91222802;0.111;0.889;;;
0.112;0.007874982;0.888;0.91222802;0.112;0.888;;;
0.113;0.007874982;0.887;0.91222802;0.113;0.887;;;
0.114;0.007874982;0.886;0.91222802;0.114;0.886;;;
0.115;0.007874982;0.885;0.91222802;0.115;0.885;;;
0.116;0.007874982;0.884;0.91222802;0.116;0.884;;;
0.117;0.007874982;0.883;0.91222802;0.117;0.883;;;
0.118;0.007874982;0.882;0.91222802;0.118;0.882;;;
0.119;0.007874982;0.881;0.91222802;0.119;0.881;;;
0.12;0.007874982;0.88;0.91222802;0.12;0.88;;;
0.121;0.007874982;0.879;0.91222802;0.121;0.879;;;
0.122;0.007874982;0.878;0.91222802;0.122;0.878;;;
0.123;0.007874982;0.877;0.91222802;0.123;0.877;;;
0.124;0.007874982;0.876;0.91222802;0.124;0.876;;;
0.125;0.007874982;0.875;0.91222802;0.125;0.875;;;
0.126;0.007874982;0.874;0.91222802;0.126;0.874;;;
0.127;0.007874982;0.873;0.91222802;0.127;0.873;;;
0.128;0.007874982;0.872;0.91222802;0.128;0.872;;;
0.129;0.007874982;0.871;0.91222802;0.129;0.871;;;
0.13;0.007874982;0.87;0.91222802;0.13;0.87;;;
0.131;0.007874982;0.869;0.91222802;0.131;0.869;;;
0.132;0.007874982;0.868;0.91222802;0.132;0.868;;;
0.133;0.007874982;0.867;0.91222802;0.133;0.867;;;
0.134;0.007874982;0.866;0.91222802;0.134;0.866;;;
0.135;0.007874982;0.865;0.91222802;0.135;0.865;;;
0.136;0.007874982;0.864;0.91222802;0.136;0.864;;;
0.137;0.007874982;0.863;0.91222802;0.137;0.863;;;
0.138;0.007874982;0.862;0.91222802;0.138;0.862;;;
0.139;0.007874982;0.861;0.91222802;0.139;0.861;;;
0.14;0.007874982;0.86;0.91222802;0.14;0.86;;;
0.141;0.007874982;0.859;0.91222802;0.141;0.859;;;
0.142;0.007874982;0.858;0.91222802;0.142;0.858;;;
0.143;0.007874982;0.857;0.91222802;0.143;0.857;;;
0.144;0.007874982;0.856;0.91222802;0.144;0.856;;;
0.145;0.007874982;0.855;0.91222802;0.145;0.855;;;
0.146;0.007874982;0.854;0.91222802;0.146;0.854;;;
0.147;0.007874982;0.853;0.91222802;0.147;0.853;;;
0.148;0.007874982;0.852;0.91222802;0.148;0.852;;;
0.149;0.007874982;0.851;0.91222802;0.149;0.851;;;
0.15;0.007874982;0.85;0.91222802;0.15;0.85;;;
0.151;0.007874982;0.849;0.91222802;0.151;0.849;;;
0.152;0.007874982;0.848;0.91222802;0.152;0.848;;;
0.153;0.007874982;0.847;0.91222802;0.153;0.847;;;
0.154;0.007874982;0.846;0.91222802;0.154;0.846;;;
0.155;0.007874982;0.845;0.91222802;0.155;0.845;;;
0.156;0.007874982;0.844;0.91222802;0.156;0.844;;;
0.157;0.007874982;0.843;0.91222802;0.157;0.843;;;
0.158;0.007874982;0.842;0.91222802;0.158;0.842;;;
0.159;0.007874982;0.841;0.91222802;0.159;0.841;;;
0.16;0.007874982;0.84;0.91222802;0.16;0.84;;;
0.161;0.007874982;0.839;0.91222802;0.161;0.839;;;
0.162;0.007874982;0.838;0.91222802;0.162;0.838;;;
0.163;0.007874982;0.837;0.91222802;0.163;0.837;;;
0.164;0.007874982;0.836;0.91222802;0.164;0.836;;;
0.165;0.007874982;0.835;0.91222802;0.165;0.835;;;
0.166;0.007874982;0.834;0.91222802;0.166;0.834;;;
0.167;0.007874982;0.833;0.91222802;0.167;0.833;;;
0.168;0.007874982;0.832;0.91222802;0.168;0.832;;;
