XFe;aFe;Xal;aAl
0.156;0.0001999;0.844;0.92882766
0.157;0.0001999;0.843;0.92882766
0.158;0.0001999;0.842;0.92882766
0.159;0.0001999;0.841;0.92882766
0.16;0.0001999;0.84;0.92882766
0.161;0.0001999;0.839;0.92882766
0.162;0.0001999;0.838;0.92882766
0.163;0.0001999;0.837;0.92882766
0.164;0.0001999;0.836;0.92882766
0.165;0.0001999;0.835;0.92882766
0.166;0.0001999;0.834;0.92882766
0.167;0.0001999;0.833;0.92882766
0.168;0.0001999;0.832;0.92882766
0.169;0.0001999;0.831;0.92882766
0.17;0.0001999;0.83;0.92882766
0.171;0.0001999;0.829;0.92882766
0.172;0.0001999;0.828;0.92882766
0.173;0.0001999;0.827;0.92882766
0.174;0.0001999;0.826;0.92882766
0.175;0.0001999;0.825;0.92882766
0.176;0.0001999;0.824;0.92882766
0.177;0.0001999;0.823;0.92882766
0.178;0.0001999;0.822;0.92882766
0.179;0.0001999;0.821;0.92882766
0.18;0.0001999;0.82;0.92882766
0.181;0.0001999;0.819;0.92882766
0.182;0.0001999;0.818;0.92882766
0.183;0.0001999;0.817;0.92882766
0.184;0.0001999;0.816;0.92882766
0.185;0.0001999;0.815;0.92882766
0.186;0.0001999;0.814;0.92882766
0.187;0.0001999;0.813;0.92882766
0.188;0.0001999;0.812;0.92882766
0.189;0.0001999;0.811;0.92882766
0.19;0.0001999;0.81;0.92882766
0.191;0.0001999;0.809;0.92882766
0.192;0.0001999;0.808;0.92882766
0.193;0.0001999;0.807;0.92882766
0.194;0.0001999;0.806;0.92882766
0.195;0.0001999;0.805;0.92882766
0.196;0.0001999;0.804;0.92882766
0.197;0.0001999;0.803;0.92882766
0.198;0.0001999;0.802;0.92882766
0.199;0.0001999;0.801;0.92882766
0.2;0.0001999;0.8;0.92882766
0.201;0.0001999;0.799;0.92882766
0.202;0.0001999;0.798;0.92882766
0.203;0.0001999;0.797;0.92882766
0.204;0.0001999;0.796;0.92882766
0.205;0.0001999;0.795;0.92882766
0.206;0.0001999;0.794;0.92882766
0.207;0.0001999;0.793;0.92882766
0.208;0.0001999;0.792;0.92882766
